customerID,Churn,customer.SeniorCitizen,customer.tenure,account.Charges.Monthly,account.Charges.Total,cuentas_diarias,gender_Male,customer.Partner_Yes,customer.Dependents_Yes,phone.PhoneService_Yes,phone.MultipleLines_No phone service,phone.MultipleLines_Yes,internet.InternetService_Fiber optic,internet.InternetService_No,internet.OnlineSecurity_No internet service,internet.OnlineSecurity_Yes,internet.OnlineBackup_No internet service,internet.OnlineBackup_Yes,internet.DeviceProtection_No internet service,internet.DeviceProtection_Yes,internet.TechSupport_No internet service,internet.TechSupport_Yes,internet.StreamingTV_No internet service,internet.StreamingTV_Yes,internet.StreamingMovies_No internet service,internet.StreamingMovies_Yes,account.Contract_One year,account.Contract_Two year,account.PaperlessBilling_Yes,account.PaymentMethod_Credit card (automatic),account.PaymentMethod_Electronic check,account.PaymentMethod_Mailed check
0002-ORFBO,0,0,-0.9516816739185229,0.027861939083858468,-0.7440260080971395,0.031230512660493783,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
0003-MKNFE,0,0,-0.9516816739185229,-0.16158291893507945,-0.7664822186545945,-0.15819807553138832,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0004-TLHLJ,1,0,-1.1552834925186748,0.3037202411114353,-0.8818736110180994,0.30041850640685264,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0011-IGKFF,1,1,-0.7888002190384015,1.1047063951915064,-0.4596615579044537,1.1079824876459292,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0013-EXCHZ,1,1,-1.196003856238705,0.63607964114466,-0.8878075212734582,0.6393959800133784,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0013-MHZWF,0,0,-0.9516816739185229,0.1541585110964842,-0.7536658548688564,0.1508696209922089,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0013-SMEOE,0,1,1.572980876723359,1.4935668932303794,2.4814402507442477,1.4968095897240032,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0014-BMAQU,0,0,1.2472179669631163,0.6610065961471518,1.3668136660117816,0.6593358314019976,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
0015-UOCOJ,0,1,-1.0331224013585836,-0.550443416973952,-0.8556232273605634,-0.547025177609462,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0016-QLJIS,0,0,1.328658694403177,0.853775048166422,1.6227438770997915,0.8587343452881895,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0017-DINOC,0,0,0.8807346934828431,-0.6501512369839194,0.07977279668494502,-0.646724434552558,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0017-IUDMW,0,0,1.6137012404433895,1.7295420672539685,2.72519381327851,1.7261178806931237,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
0018-NYROU,0,0,-1.1145631287986444,0.139202338094989,-0.8507040378180166,0.1408996952978991,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0019-EFAEP,0,0,1.6137012404433895,1.2143849972024705,2.1977596340754135,1.2176516702833347,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
0019-GFNTW,0,0,0.9621754209229038,-0.655136627984418,0.12369255623297355,-0.6566943602468676,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0020-INWCK,0,0,1.572980876723359,1.0299255301840309,2.016058449044217,1.0282230820914524,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
0020-JDNXP,0,0,0.06632741908223602,-0.11671439993059406,-0.12641404032933118,-0.11831837275414993,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0021-IKXGC,0,1,-1.2774445836787658,0.24389554910545447,-0.9739705452787822,0.24059895224099506,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0022-TCJCI,1,1,0.51425142000257,-0.06852228692577639,0.2257822836002647,-0.06846874428260218,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
